comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,cat,cat_txt,cat_score,year,cat_2016_score
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2001.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2002.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2002.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2002.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2002.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2002.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2003.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2003.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2003.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2003.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2003.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2004.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2004.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2004.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2004.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2004.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2005.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2005.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2005.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2005.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2005.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2006.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2006.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2006.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2006.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2006.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2007.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2007.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2007.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2007.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2007.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2008.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2008.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2008.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2008.0,NA
Killer whale,Orcinus orca,FALSE,NA,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2008.0,NA
Killer Whale,Orcinus orca,FALSE,2,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2009.0,NA
Killer Whale,Orcinus orca,FALSE,3,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2009.0,NA
Killer whale,Orcinus orca,FALSE,8,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2009.0,NA
Killer whale,Orcinus orca,FALSE,9,15421,NA,DD,CD,Lower Risk/conservation dependent,0.3,2009.0,NA
