iucn_sid,iucn_rgn_name,presence,origin,distribution_code,rgn_id,ohi_rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat
2477,Chile,Extant,Native,Native,NA,Chile,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Cameroon,Extant,Native,Native,NA,Cameroon,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,China,Extant,Native,Native,NA,China,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Colombia,Extant,Native,Native,NA,Colombia,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Costa Rica,Extant,Native,Native,NA,Costa Rica,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Cape Verde,Extant,Native,Native,NA,Cape Verde,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Djibouti,Extant,Native,Native,NA,Djibouti,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Ecuador,Extant,Native,Native,NA,Ecuador,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Western Sahara,Extant,Native,Native,NA,Western Sahara,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Eritrea,Extant,Native,Native,NA,Eritrea,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Spain,Extant,Native,Native,NA,Spain,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Falkland Islands (Malvinas),Extant,Native,Native,NA,Falkland Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Faroe Islands,Extant,Native,Native,NA,Faeroe Islands,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,France,Extant,Native,Native,NA,France,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Gabon,Extant,Native,Native,NA,Gabon,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,United Kingdom,Extant,Native,Native,NA,United Kingdom,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Grenada,Extant,Native,Native,NA,Grenada,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Ghana,Extant,Native,Native,NA,Ghana,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
2477,Gibraltar,Extant,Native,Native,NA,Gibraltar,Blue whale,Balaenoptera musculus,TRUE,NA,NA,EN
