"cell_id","ocean","fao_id","rgn_name","proportionArea","rgn_id","area"
729,"Arctic",18,NA,NA,NA,NA
730,"Arctic",18,NA,NA,NA,NA
731,"Arctic",18,NA,NA,NA,NA
732,"Arctic",18,NA,NA,NA,NA
733,"Arctic",18,NA,NA,NA,NA
734,"Arctic",18,NA,NA,NA,NA
735,"Arctic",18,NA,NA,NA,NA
736,"Arctic",18,NA,NA,NA,NA
737,"Arctic",18,NA,NA,NA,NA
738,"Arctic",18,NA,NA,NA,NA
739,"Arctic",18,NA,NA,NA,NA
740,"Arctic",18,NA,NA,NA,NA
741,"Arctic",18,NA,NA,NA,NA
742,"Arctic",18,NA,NA,NA,NA
743,"Arctic",18,NA,NA,NA,NA
744,"Arctic",18,NA,NA,NA,NA
745,"Arctic",18,NA,NA,NA,NA
746,"Arctic",18,NA,NA,NA,NA
747,"Arctic",18,NA,NA,NA,NA
748,"Arctic",18,NA,NA,NA,NA
749,"Arctic",18,NA,NA,NA,NA
750,"Arctic",18,NA,NA,NA,NA
751,"Arctic",18,NA,NA,NA,NA
752,"Arctic",18,NA,NA,NA,NA
753,"Arctic",18,NA,NA,NA,NA
754,"Arctic",18,NA,NA,NA,NA
755,"Arctic",18,NA,NA,NA,NA
756,"Arctic",18,NA,NA,NA,NA
757,"Arctic",18,NA,NA,NA,NA
758,"Arctic",18,NA,NA,NA,NA
759,"Arctic",18,NA,NA,NA,NA
760,"Arctic",18,NA,NA,NA,NA
761,"Arctic",18,NA,NA,NA,NA
762,"Arctic",18,NA,NA,NA,NA
763,"Arctic",18,NA,NA,NA,NA
764,"Arctic",18,NA,NA,NA,NA
765,"Arctic",18,NA,NA,NA,NA
766,"Arctic",18,NA,NA,NA,NA
767,"Arctic",18,NA,NA,NA,NA
768,"Arctic",18,NA,NA,NA,NA
769,"Arctic",18,NA,NA,NA,NA
770,"Arctic",18,NA,NA,NA,NA
771,"Arctic",18,NA,NA,NA,NA
772,"Arctic",18,NA,NA,NA,NA
773,"Arctic",18,NA,NA,NA,NA
774,"Arctic",18,NA,NA,NA,NA
775,"Arctic",18,NA,NA,NA,NA
776,"Arctic",18,NA,NA,NA,NA
777,"Arctic",18,NA,NA,NA,NA
778,"Arctic",18,NA,NA,NA,NA
779,"Arctic",18,NA,NA,NA,NA
780,"Arctic",18,NA,NA,NA,NA
781,"Arctic",18,NA,NA,NA,NA
782,"Arctic",18,NA,NA,NA,NA
783,"Arctic",18,NA,NA,NA,NA
784,"Arctic",18,NA,NA,NA,NA
785,"Arctic",18,NA,NA,NA,NA
786,"Arctic",18,NA,NA,NA,NA
787,"Arctic",18,NA,NA,NA,NA
788,"Arctic",18,NA,NA,NA,NA
789,"Arctic",18,NA,NA,NA,NA
790,"Arctic",18,NA,NA,NA,NA
791,"Arctic",18,NA,NA,NA,NA
792,"Arctic",18,NA,NA,NA,NA
793,"Arctic",18,NA,NA,NA,NA
794,"Arctic",18,NA,NA,NA,NA
795,"Arctic",18,NA,NA,NA,NA
796,"Arctic",18,NA,NA,NA,NA
797,"Arctic",18,NA,NA,NA,NA
798,"Arctic",18,NA,NA,NA,NA
799,"Arctic",18,NA,NA,NA,NA
800,"Arctic",18,NA,NA,NA,NA
801,"Arctic",18,NA,NA,NA,NA
802,"Arctic",18,NA,NA,NA,NA
803,"Arctic",18,NA,NA,NA,NA
804,"Arctic",18,NA,NA,NA,NA
805,"Arctic",18,NA,NA,NA,NA
806,"Arctic",18,NA,NA,NA,NA
807,"Arctic",18,NA,NA,NA,NA
808,"Arctic",18,NA,NA,NA,NA
809,"Arctic",18,NA,NA,NA,NA
810,"Arctic",18,NA,NA,NA,NA
811,"Arctic",18,NA,NA,NA,NA
